,MP,W,D,L,GF,GA
Abkhazia,28,12,12,4,48,24
Afghanistan,111,30,24,57,114,223
Albania,339,88,71,180,315,529
Alderney,19,3,0,16,15,75
Algeria,507,215,140,152,710,523
American Samoa,48,5,2,41,36,306
Andalusia,13,8,4,1,25,14
Andorra,172,6,21,145,47,446
Angola,353,122,123,108,403,373
Anguilla,61,3,5,53,37,254
Antigua and Barbuda,196,62,38,96,274,349
Arameans Suryoye,10,5,2,3,16,12
Argentina,984,529,244,211,1836,1028
Armenia,216,54,45,117,221,372
Artsakh,11,6,2,3,32,14
Aruba,120,21,27,72,154,288
Australia,517,257,112,148,1046,571
Austria,797,333,173,291,1421,1245
Azerbaijan,252,48,69,135,183,414
Bahamas,36,11,6,19,48,108
Bahrain,492,166,141,185,599,624
Bangladesh,211,51,45,115,184,424
Barawa,12,3,0,9,16,46
Barbados,263,88,59,116,344,427
Basque Country,57,37,11,9,154,75
Belarus,257,79,64,114,307,371
Belgium,776,339,165,272,1375,1202
Belize,79,18,12,49,83,162
Benin,261,60,66,135,269,475
Bermuda,152,54,26,72,256,244
Bhutan,81,8,5,68,48,323
Bolivia,462,101,113,248,474,901
Bonaire,21,7,3,11,34,66
Bosnia and Herzegovina,227,88,50,89,328,307
Botswana,279,75,84,120,229,350
Brazil,985,629,199,157,2161,895
British Virgin Islands,91,16,14,61,79,290
Brittany,12,6,3,3,18,15
Brunei,73,10,5,58,55,255
Bulgaria,679,251,169,259,956,1005
Burkina Faso,390,125,108,157,452,532
Burma,341,151,60,130,572,503
Burundi,189,59,47,83,202,242
Cambodia,225,48,31,146,252,586
Cameroon,536,232,168,136,738,555
Canada,381,134,87,160,441,525
Canary Islands,4,3,0,1,11,3
Cape Verde,168,59,38,71,174,198
Cascadia,7,4,1,2,23,14
Catalonia,47,18,12,17,73,83
Cayman Islands,91,19,14,58,92,223
Central African Republic,96,20,21,55,102,189
Central Spain,2,1,0,1,2,4
Chad,116,25,28,63,106,200
Chagos Islands,11,1,1,9,16,64
Chameria,5,2,2,1,9,4
Chile,764,291,161,312,1087,1104
China PR,596,287,135,174,1079,654
Chinese Taipei,149,38,21,90,192,399
Colombia,554,215,152,187,679,656
Comoros,60,9,19,32,39,87
Congo,376,129,97,150,476,514
Cook Islands,43,9,4,30,38,231
Corsica,9,4,4,1,10,5
Costa Rica,607,257,154,196,986,715
County of Nice,9,6,1,2,19,13
Crimea,5,3,0,2,7,11
Croatia,326,172,86,68,569,333
Cuba,337,115,81,141,442,508
Curaçao,332,122,87,123,527,535
Cyprus,370,70,61,239,324,813
Czech Republic,305,165,59,81,544,300
Czechoslovakia,497,223,113,161,917,690
DR Congo,462,182,126,154,701,572
Darfur,7,0,0,7,1,99
Denmark,803,361,172,270,1430,1110
Djibouti,88,4,7,77,60,333
Dominica,182,43,38,101,212,375
Dominican Republic,113,44,15,54,178,192
East Timor,51,4,3,44,42,173
Ecuador,516,155,125,236,633,843
Egypt,634,310,157,167,1022,641
El Salvador,502,167,110,225,613,742
Ellan Vannin,17,7,5,5,30,24
England,1017,577,243,197,2221,998
Equatorial Guinea,130,29,29,72,108,208
Eritrea,72,11,16,45,48,126
Estonia,475,119,105,251,476,837
Eswatini,230,46,67,117,189,392
Ethiopia,363,132,80,151,505,534
Falkland Islands,29,6,0,23,28,108
Faroe Islands,232,43,26,163,192,562
Felvidék,8,3,1,4,8,14
Fiji,221,97,40,84,523,361
Finland,752,195,154,403,884,1573
France,848,423,179,246,1512,1108
French Guiana,157,46,32,79,233,278
Frøya,30,6,2,22,53,117
Gabon,360,125,105,130,416,407
Galicia,9,4,3,2,18,13
Gambia,214,51,65,98,199,303
Georgia,247,74,54,119,287,349
German DR,298,140,66,92,506,361
Germany,958,558,198,202,2139,1115
Ghana,602,287,159,156,977,617
Gibraltar,104,32,11,61,145,242
Gotland,30,11,4,15,81,57
Gozo,6,1,0,5,7,20
Greece,572,212,143,217,705,793
Greenland,73,24,9,40,140,147
Grenada,212,76,46,90,371,384
Guadeloupe,236,97,44,95,397,350
Guam,99,23,9,67,122,478
Guatemala,444,155,113,176,608,609
Guernsey,77,37,17,23,169,102
Guinea,467,170,135,162,633,578
Guinea-Bissau,147,40,31,76,141,231
Guyana,264,81,54,129,334,458
Găgăuzia,3,0,1,2,2,9
Haiti,449,186,102,161,705,600
Hitra,19,4,1,14,24,82
Honduras,517,210,138,169,760,635
Hong Kong,389,127,87,175,580,646
Hungary,938,439,205,294,1905,1399
Iceland,454,141,85,228,542,760
India,404,140,90,174,562,689
Indonesia,553,208,105,240,919,928
Iran,501,274,128,99,929,403
Iraq,549,252,159,138,869,516
Iraqi Kurdistan,27,13,8,6,61,27
Isle of Man,49,29,4,16,156,75
Isle of Wight,44,23,7,14,106,56
Israel,434,151,105,178,628,634
Italy,809,428,227,154,1387,782
Ivory Coast,567,281,144,142,905,588
Jamaica,566,222,129,215,759,750
Japan,631,304,143,184,1107,723
Jersey,82,55,11,16,181,80
Jordan,394,138,118,138,477,426
Kabylia,6,1,2,3,8,15
Kazakhstan,205,49,49,107,213,337
Kenya,646,244,160,242,902,881
Kernow,11,6,2,3,30,18
Kiribati,11,0,1,10,7,126
Kosovo,46,17,10,19,65,68
Kuwait,564,237,154,173,876,610
Kyrgyzstan,146,44,23,79,160,250
Kárpátalja,10,5,4,1,24,12
Laos,163,31,26,106,169,515
Latvia,401,115,94,192,484,660
Lebanon,274,75,78,121,315,422
Lesotho,248,45,79,124,203,390
Liberia,247,68,57,122,220,344
Libya,337,123,86,128,427,406
Liechtenstein,204,17,27,160,92,571
Lithuania,374,103,71,200,391,676
Luxembourg,410,37,52,321,252,1106
Macau,128,21,15,92,107,384
Madagascar,223,85,47,91,294,341
Madrid,1,0,0,1,1,2
Malawi,565,198,165,202,678,711
Malaysia,602,210,150,242,908,921
Maldives,159,47,26,86,220,352
