,TM,HW,AW,D,HWP,AWP,DP
1870,13,8,3,2,61.53846153846154,23.076923076923077,15.384615384615385
1880,55,27,23,5,49.09090909090909,41.81818181818181,9.090909090909092
1890,58,29,20,9,50.0,34.48275862068966,15.517241379310345
1900,124,56,44,24,45.16129032258064,35.483870967741936,19.35483870967742
1910,268,137,82,49,51.11940298507462,30.597014925373134,18.28358208955224
1920,687,332,213,142,48.32605531295487,31.004366812227076,20.66957787481805
1930,896,471,271,154,52.56696428571429,30.245535714285715,17.1875
1940,638,345,191,102,54.075235109717866,29.93730407523511,15.987460815047022
1950,1258,615,398,245,48.887122416534176,31.63751987281399,19.475357710651828
1960,2103,1087,574,442,51.688064669519726,27.2943414170233,21.017593913456967
1970,2796,1416,753,627,50.64377682403433,26.931330472103003,22.42489270386266
1980,3630,1773,899,958,48.84297520661157,24.765840220385673,26.391184573002757
1990,4909,2478,1216,1215,50.47871256875127,24.770829089427583,24.750458341821144
2000,7002,3567,1751,1684,50.942587832047984,25.007140816909455,24.05027135104256
2010,6872,3468,1827,1577,50.46565774155995,26.586146682188595,22.948195576251454
2020,248,106,76,66,42.74193548387097,30.64516129032258,26.61290322580645
